Date, Open, High, Low, Close
01/25/21, 28698.89, 28822.29, 28566.85, 28822.29
01/22/21, 28580.20, 28698.18, 28527.16, 28631.45
01/21/21, 28710.41, 28846.15, 28677.61, 28756.86
01/20/21, 28798.74, 28801.19, 28402.11, 28523.26
01/19/21, 28405.49, 28720.91, 28373.34, 28633.46
01/18/21, 28238.68, 28349.97, 28111.54, 28242.21
01/15/21, 28777.47, 28820.50, 28477.03, 28519.18
01/14/21, 28442.73, 28979.53, 28411.58, 28698.26
01/13/21, 28140.10, 28503.43, 28133.59, 28456.59
01/12/21, 28004.37, 28287.37, 27899.45, 28164.34
01/08/21, 27720.14, 28139.03, 27667.75, 28139.03
01/07/21, 27340.46, 27624.73, 27340.46, 27490.13
01/06/21, 27102.85, 27196.40, 27002.18, 27055.94
01/05/21, 27151.38, 27279.78, 27073.46, 27158.63
01/04/21, 27575.57, 27602.11, 27042.32, 27258.38
12/30/20, 27559.10, 27572.57, 27338.56, 27444.17
12/29/20, 26936.38, 27602.52, 26921.14, 27568.15
12/28/20, 26691.29, 26854.03, 26664.60, 26854.03
12/25/20, 26708.10, 26716.61, 26638.28, 26656.61
12/24/20, 26635.11, 26764.53, 26605.26, 26668.35
12/23/20, 26580.43, 26585.21, 26414.74, 26524.79
12/22/20, 26559.33, 26639.99, 26361.66, 26436.39
12/21/20, 26834.10, 26905.67, 26533.63, 26714.42
12/18/20, 26775.53, 26824.29, 26707.30, 26763.39
12/17/20, 26744.50, 26843.05, 26676.28, 26806.67
12/16/20, 26835.59, 26874.98, 26717.03, 26757.40
12/15/20, 26683.11, 26736.84, 26605.54, 26687.84
12/14/20, 26659.53, 26870.47, 26648.69, 26732.44
12/11/20, 26732.85, 26819.41, 26553.01, 26652.52
12/10/20, 26688.50, 26852.77, 26639.98, 26756.24
12/09/20, 26526.34, 26826.78, 26520.60, 26817.94
12/08/20, 26380.32, 26523.30, 26327.08, 26467.08
12/07/20, 26894.25, 26894.25, 26500.32, 26547.44
12/04/20, 26697.26, 26799.83, 26646.08, 26751.24
12/03/20, 26740.30, 26868.09, 26719.23, 26809.37
12/02/20, 26884.99, 26889.90, 26695.28, 26800.98
12/01/20, 26624.20, 26852.16, 26618.39, 26787.54
11/30/20, 26830.10, 26834.20, 26405.83, 26433.62
11/27/20, 26530.28, 26672.40, 26419.05, 26644.71
11/26/20, 26255.47, 26560.03, 26255.47, 26537.31
11/25/20, 26468.52, 26706.42, 26258.35, 26296.86
11/24/20, 25901.45, 26261.78, 25901.45, 26165.59
11/20/20, 25486.83, 25555.37, 25425.59, 25527.37
11/19/20, 25628.73, 25650.86, 25474.94, 25634.34
11/18/20, 25860.55, 25882.14, 25656.70, 25728.14
11/17/20, 26043.45, 26057.30, 25851.54, 26014.62
11/16/20, 25652.69, 25928.18, 25640.29, 25906.93
11/13/20, 25405.64, 25456.18, 25215.31, 25385.87
11/12/20, 25439.35, 25587.96, 25316.60, 25520.88
11/11/20, 25145.66, 25401.30, 25145.66, 25349.60
11/10/20, 25087.30, 25279.94, 24833.18, 24905.59
